Cutoff,Time (2 threads),Time (4 threads),Time (8 threads),Time (16 threads)
5100,99,79,86,95
5150,74,56,62,62
5200,52,43,61,42
5250,56,14,51,27
5300,40,14,34,13
5350,34,13,14,14
5400,20,15,12,14
5450,17,12,11,13
5500,15,11,9,13
5550,14,12,10,11
5600,15,11,9,11
5650,14,12,9,11
5700,30,12,11,11
5750,15,13,9,10
5800,16,13,10,10
5850,16,13,10,10
5900,16,26,9,11
5950,15,22,10,37
6000,17,13,10,13
6050,17,12,10,12
6100,17,12,10,12
6150,17,13,10,12
6200,15,13,11,11
6250,17,12,36,38
6300,16,11,31,11
6350,16,11,13,11
6400,16,11,11,10
6450,14,26,13,10
6500,14,19,35,10
6550,15,12,10,10
6600,14,12,10,9
6650,15,11,10,9
6700,13,11,10,9
6750,13,11,9,9
6800,14,11,9,9
6850,15,12,9,9
6900,14,12,9,10
6950,14,13,9,10
7000,16,13,9,10
7050,17,15,10,10
7100,21,14,9,10
7150,21,14,11,11
7200,20,13,10,11
7250,19,13,10,10
7300,22,12,10,11
7350,36,13,10,43
7400,28,13,11,11
7450,18,13,9,10
7500,16,11,9,11
7550,16,12,40,10
